,text
38,took meds away became addicted another part opioids crisis going past couple years
39,god blessing anyone two people dead much like brains heads logical reason people say stupid things arent people embarrassed simpleminded
40,got love nd amendment right letting anyone carry gun mr abbott
41,gonna keep happening remember pain causing refuse medicate addicts want get high still gonna get high everyone pain addict remember stop refusing treat pain become common finally time
42,suspect shouldnt custody executed immediately undeniable justice system needs reform
43,obvious texan enough guns good grief
44,wrong texas florida
45,mental health facilities country needs ramp
46,gun agenda fake complacent news media knows nothing happened
47,sad tragedy deepest condolences families
48,god bless affected violent tragedy
49,previously work
50,episcopal church helps poor church hospital depraved sad heart goes families heartbreaking homeless could shower episcopal church get food social services help medical help clothing vouchers church member selflessness church member support tireless search city get donation things needed realize value gives person needs makes feel worth something loved painful see
51,another day liberal
52,could motive look speech qultist find
53,w antimask antivaccine ndamendment calls violence insurrectionist tirades trump supporting republican political leaders like greg abbott made hospitals healthcareprofessionals targets gqp domesticterrorism r dems waiting call
54,world mad worse since closed due covid crap
55,news anymore
56,believe media government lied events multiple times agenda
57,goes show shouldnt fire white peoples jobs
58,dear lord please comfort bereaved name jesus
59,surprise hardly ever happens country person using gun kill innocent people motivedoes really matter motive might gun entered hospital killed two humans motive reason justify days people skip arguing debating grab favorite toy kill country drowning guns easy access weekly occurance almost guaranteed
60,easy nurse rip angels philadelphia usa
61,
62,always fear happening years nurse
63,thought town bad see safe
64,wonder dispropation black black crime talking
65,america
66,bet evil cops stopped
67,big question motive kill people duh big question big question whats root cause deadly violence media doesnt know lazy conduct investigative journalism want sensationalize atrocities
68,betty white
69,didnt tulsa almost thing happen like june year
70,church asleep needs wake pray lord jesus christ need holy spirit rain love us
71,oh look another fake shooting push gun control
72,glad get chance needs special inter departmental prison justice people charge look way
73,dallas gonna new chiraq
74,perhaps need bigger gun free zone signs smdh
75,another sad episode gun smoke america
76,robert francis rourke stand website beto follows biden liberal agenda addition two liberal democrats representing texas sylvia garcia veronica escobar need voted rourke opposes voter id supports early release bail supported de fund police beto marched blm rioted beto said nothing condemn violence supports biden tax increases convicts right vote prison gun control supports sanctuary cities supported biden open border policy est million crossed date guess pays fentanl pouring across border opposed wall rourke supports liberal class room curriculum young children critical race theory racist lgbtq gender identity teachers making decisons parents deserve know children school sex restrooms beto supports green new deal biden war oil freeze american oil production yet buying oil countries pollute environment taxpayer funds illegal aliens including college welfare immigrants beto rourke financed socialist george soros nuff said vote republican law order candidates greg abbott governor mayra flores congress
77,another shooting red state crime violence happens everywhere
78,idk hospital probably deserved
79,betty white
80,see news tell race yes black person fact news knows dont want tell white person would blow would trump supporter useless news tell truth much less facts channel called useless news live sad dont give stats black crime let people know percent crime black non working un educated non working ignorant people please people need hear facts lied useless nees
81,thanks nothing jesus amen
82,sorry victims families employees patients community really whole world every thing really affect us sorry people making stupid comments may victims rip may justice served
83,let keep pushing nd amendment rights bozos
84,looks like man like medical care getting place probably suffering pain get anything
85,police shot suspect taking another hospital give killer medical help hospital
86,taken different hospital
87,one political party wants common sense gun laws wants guns vote common sense
88,texas guns eh guys
89,democrat inspired terror
90,many citizens medical workers kill every year malpractice corruption definitely two
91,start photo perp know white
92,amazing usa incidents country
93,maybe throw guns problem yeah work
94,bull report anything information guy
95,sounds white
96,good thing emperor world one thing suspect would received would medical attention would blead scene scooped thrown away like garbage whatever people conscious clear
97,get killed nurse matters get shot makes news get poisoned employer mandatethat gets swept rug
98,need take guns store stop selling need opinion
99,refuse treat
100,knew long last sentence gave one next one already thinking planning mandatory death penalty shooters nation wide exceptions
101,took away meds understand insanity constant severe pain due physical problems immune disorders arthritis took little relief would literally go insane within weeks government taking away meds years less half two years ago suffer many people similar problems turned street drugs problems family change thc get proper medication anymore switch thc take away medications said murder innocent people reason knows person one thing clear prepared times
102,security officers inside hospitals sleep night home door locked hospitals doors open night long even patients
103,bible greatest book ever written last days prophecy babylon great america fallen praises high son black messiah gun society destroyed society elohim righteous judgment upon america wicked
104,someone get pain meds time
105,guarnteed shooter white male nationalist nra member
106,prayers
107,every american citizen buy firearm today may family protection crime rate explodes
108,bail shit b violent criminals need jail period see giving break non violent criminals thats
109,cut em perks
110,caugh taken another hospitalwth jail world live scary place
111,shooting everyday republicans want guns streets enough already raise right gun definitely need background checks
112,upset getting pills
113,one safe texas anyone buy gun time sorry
114,may rip
115,hospital workers terrible things deal smh even mind business work goodness
116,police needs rights nothing happen police also human lucky china
117,hospitals forced security guards every hospital entrance may hospital employees rip
118,love false flags
119,yes going everywhere isolated event meaning non us safe rip people
120,want see picture description shooter
121,welcome joe biden america really went hill fast
122,hmm treat shooter methodist
123,place safe anymore sad country going thru n things never going get better
124,
125,oxycodone addict
